[249, 335, 177, 550, 146, 804, 145, 63, 556, 228]
[297, 565, 948, 635, 381, 651, 735, 380, 756, 882]
[231, 106, 245, 439, 268, 118, 691, 407, 567, 89]
[598, 227, 318, 93, 432, 645, 28, 254, 697, 82]
[848, 536, 525, 822, 651, 821, 624, 689, 39, 167]
[441, 869, 27, 894, 855, 245, 820, 437, 407, 480]
[578, 331, 921, 327, 659, 704, 960, 591, 262, 578]
[375, 785, 765, 904, 191, 370, 627, 89, 304, 796]
[436, 137, 182, 525, 250, 26, 296, 42, 313, 733]
[626, 401, 280, 590, 881, 925, 736, 767, 524, 404]
[466, 426, 79, 769, 564, 105, 244, 30, 661, 310]
[970, 144, 746, 486, 273, 937, 512, 862, 326, 70]
[707, 894, 180, 246, 589, 924, 464, 436, 368, 62]
[55, 310, 144, 92, 695, 74, 69, 546, 622, 559]
[559, 328, 685, 729, 866, 534, 449, 760, 206, 394]
[37, 876, 207, 481, 198, 579, 355, 503, 119, 761]
[944, 776, 511, 128, 219, 364, 164, 363, 524, 431]
[99, 720, 122, 101, 45, 895, 44, 707, 865, 564]
[491, 486, 73, 530, 88, 276, 639, 716, 439, 415]
[351, 629, 964, 300, 610, 881, 263, 527, 133, 388]
